AverageMonthlyHours,Department,EmployeeId,LastEvaluation,Left,NumberProject,Promotion,SalaryType,SatisfactoryLevel,TimeSpent,WorkAccident
155,IT,1000142,0.53,1,2,0,low,0.45,3,0
256,IT,1000143,0.8,1,6,0,low,0.11,4,0
152,product_mng,1000144,0.47,1,2,0,low,0.37,3,0
267,product_mng,1000145,0.99,1,4,0,low,0.84,5,0
151,product_mng,1000146,0.46,1,2,0,low,0.41,3,0
239,product_mng,1000147,0.92,1,4,0,low,0.76,5,0
306,IT,1000148,0.87,1,6,0,low,0.11,4,0
263,marketing,1000149,0.88,1,4,0,low,0.84,5,1
147,marketing,1000150,0.5,1,2,0,low,0.39,3,0
278,marketing,1000151,0.91,1,6,0,low,0.11,4,0
154,marketing,1000152,0.56,1,2,0,low,0.45,3,0
143,marketing,1000153,0.52,1,2,0,low,0.37,3,0
155,marketing,1000154,0.52,1,2,0,low,0.4,3,0
160,sales,1000155,0.48,1,2,0,low,0.39,3,0
304,accounting,1000156,0.8,1,6,0,low,0.11,4,0
240,support,1000157,1,1,5,0,low,0.83,5,0
305,technical,1000158,0.92,1,6,0,low,0.11,4,0
136,management,1000159,0.5,1,2,0,low,0.39,3,0
132,marketing,1000160,0.45,1,2,0,low,0.45,3,0
301,marketing,1000161,0.95,1,7,0,low,0.1,4,0
243,marketing,1000162,0.98,1,5,0,low,0.9,6,0
147,sales,1000163,0.51,1,2,0,low,0.45,3,0
239,sales,1000164,0.89,1,5,0,low,0.79,5,0
260,sales,1000165,0.99,1,5,0,low,0.9,5,0
296,sales,1000166,0.84,1,7,0,low,0.11,4,0
129,sales,1000167,0.55,1,2,0,low,0.43,3,0
132,sales,1000168,0.54,1,5,0,low,0.31,5,0
135,sales,1000169,0.5,1,2,0,low,0.32,5,0
158,sales,1000170,0.57,1,2,0,low,0.45,3,0
259,sales,1000171,0.99,1,4,0,low,0.81,5,0
160,sales,1000172,0.46,1,2,1,low,0.41,3,0
278,sales,1000173,0.78,1,7,0,low,0.11,4,0
284,sales,1000174,0.88,1,6,0,low,0.1,4,0
274,sales,1000175,0.53,1,2,0,low,0.7,4,0
164,sales,1000176,0.74,1,4,0,low,0.54,2,0
148,sales,1000177,0.48,1,2,0,low,0.41,3,0
140,sales,1000178,0.5,1,2,0,medium,0.38,3,0
127,sales,1000179,0.51,1,2,0,medium,0.37,3,0
308,sales,1000180,0.85,1,6,0,medium,0.11,5,0
146,sales,1000181,0.47,1,2,0,medium,0.4,3,0
261,accounting,1000182,0.84,1,6,0,medium,0.1,4,0
257,accounting,1000183,0.99,1,5,0,medium,0.89,5,0
285,accounting,1000184,0.8,1,6,0,medium,0.11,4,0
141,hr,1000185,0.55,1,2,0,medium,0.36,3,0
127,hr,1000186,0.46,1,2,0,medium,0.4,3,0
297,hr,1000187,0.85,1,6,0,medium,0.09,4,0
143,hr,1000188,0.46,1,2,0,medium,0.4,3,0
152,technical,1000189,0.55,1,2,0,medium,0.37,3,0
156,technical,1000190,0.51,1,2,0,high,0.44,3,0
283,technical,1000191,0.8,1,7,0,low,0.09,5,0
226,technical,1000192,0.87,1,4,0,medium,0.92,6,1
232,technical,1000193,0.91,1,4,0,medium,0.74,5,0
249,technical,1000194,0.82,1,6,0,medium,0.09,4,0
275,technical,1000195,0.95,1,4,0,medium,0.89,5,0
304,technical,1000196,0.8,1,6,0,low,0.09,4,0
278,technical,1000197,0.54,1,7,0,low,0.27,3,0
287,technical,1000198,0.91,1,6,0,low,0.1,4,0
285,technical,1000199,0.89,1,7,0,low,0.1,4,0
226,support,1000200,0.94,1,5,0,low,0.77,6,0
259,support,1000201,0.82,1,5,0,low,0.9,5,0
135,support,1000202,0.5,1,2,0,low,0.39,3,0
219,support,1000203,1,1,5,0,low,0.76,5,0
256,support,1000204,0.93,1,6,0,low,0.1,4,0
254,support,1000205,0.9,1,5,0,low,0.87,6,0
153,support,1000206,0.5,1,2,0,low,0.38,3,0
228,support,1000207,0.99,1,5,0,low,0.77,5,0
228,support,1000208,0.87,1,4,0,low,0.78,5,0
128,support,1000209,0.5,1,2,0,low,0.44,3,0
153,support,1000210,0.52,1,2,0,low,0.38,3,0
156,technical,1000211,0.46,1,2,0,low,0.43,3,0
294,technical,1000212,0.5,1,4,0,low,0.39,3,0
219,technical,1000213,1,1,5,0,low,0.88,5,0
153,management,1000214,0.46,1,2,0,low,0.45,3,0
151,IT,1000215,0.53,1,2,0,low,0.4,3,0
155,IT,1000216,0.51,1,2,0,low,0.36,3,0
158,IT,1000217,0.48,1,2,0,low,0.36,3,0
245,IT,1000218,0.98,1,5,0,low,0.9,5,0
131,IT,1000219,0.53,1,2,0,low,0.43,3,0
225,product_mng,1000220,0.87,1,5,0,low,0.89,5,0
286,product_mng,1000221,0.84,1,6,0,low,0.1,4,0
135,product_mng,1000222,0.5,1,2,0,low,0.37,3,0
153,product_mng,1000223,0.51,1,2,0,low,0.37,3,0
252,IT,1000224,0.9,1,5,0,low,0.87,5,0
149,accounting,1000225,0.56,1,2,0,low,0.4,3,0
258,accounting,1000226,0.97,1,4,0,low,0.9,5,0
158,hr,1000227,0.46,1,2,0,low,0.37,3,0
149,hr,1000228,0.54,1,2,0,low,0.44,3,0
236,hr,1000229,0.95,1,5,0,low,0.85,5,0
239,marketing,1000230,0.98,1,5,0,low,0.78,6,0
159,marketing,1000231,0.47,1,2,0,low,0.42,3,0
255,sales,1000232,0.99,1,5,0,low,0.92,6,0
244,accounting,1000233,0.83,1,6,0,low,0.11,4,0
134,support,1000234,0.56,1,2,0,low,0.42,3,0
270,technical,1000235,0.57,1,4,0,low,0.48,4,0
255,management,1000236,0.85,1,4,0,low,0.83,5,0
151,marketing,1000237,0.53,1,2,0,low,0.4,3,0
135,marketing,1000238,0.45,1,2,0,low,0.43,3,0
146,marketing,1000239,0.53,1,2,0,low,0.43,3,0
254,sales,1000240,0.97,1,7,0,low,0.1,4,0
289,sales,1000241,0.87,1,7,0,low,0.1,4,0
156,sales,1000242,0.46,1,2,0,low,0.37,3,0
156,sales,1000243,0.53,1,2,0,low,0.38,3,0
128,sales,1000244,0.5,1,2,0,low,0.4,3,0
275,sales,1000245,0.86,1,5,0,low,0.89,5,0
155,sales,1000246,0.46,1,2,0,low,0.45,3,0
159,sales,1000247,0.48,1,2,0,low,0.37,3,0
148,sales,1000248,0.49,1,2,0,low,0.46,3,0
228,sales,1000249,0.91,1,4,0,low,0.87,5,0
298,sales,1000250,0.84,1,6,0,low,0.11,4,0
261,sales,1000251,0.87,1,5,0,low,0.79,5,0
254,sales,1000252,0.92,1,5,0,low,0.79,6,0
192,sales,1000253,0.59,1,7,0,low,0.19,3,0
248,sales,1000254,0.98,1,4,0,low,0.87,5,0
258,sales,1000255,0.92,1,2,0,low,0.6,5,0
156,sales,1000256,0.45,1,2,0,medium,0.44,3,0
266,sales,1000257,0.81,1,6,0,medium,0.11,4,1
156,sales,1000258,0.54,1,2,0,medium,0.42,3,0
232,accounting,1000259,0.88,1,5,0,medium,0.88,5,1
287,accounting,1000260,0.84,1,6,0,medium,0.11,4,0
154,accounting,1000261,0.46,1,2,0,medium,0.46,3,0
263,hr,1000262,0.97,1,5,0,medium,0.82,5,0
131,hr,1000263,0.56,1,2,0,medium,0.44,3,0
260,hr,1000264,0.78,1,6,0,medium,0.11,4,0
139,hr,1000265,0.5,1,2,0,medium,0.42,3,0
251,technical,1000266,0.93,1,4,0,medium,0.84,5,0
286,technical,1000267,0.95,1,6,0,medium,0.11,4,0
129,technical,1000268,0.53,1,2,0,high,0.45,3,0
156,technical,1000269,0.56,1,2,0,low,0.38,3,0
139,technical,1000270,0.86,1,6,0,medium,0.38,6,0
127,technical,1000271,0.51,1,2,0,medium,0.44,3,0
251,technical,1000272,0.84,1,6,0,medium,0.11,4,0
270,technical,1000273,0.93,1,5,0,medium,0.81,5,0
296,technical,1000274,0.96,1,6,0,low,0.09,4,0
254,technical,1000275,0.9,1,6,0,low,0.11,4,0
238,technical,1000276,0.95,1,5,0,low,0.81,6,0
267,support,1000277,0.97,1,6,0,low,0.1,4,1
229,support,1000278,0.89,1,5,0,low,0.74,6,0
254,support,1000279,0.78,1,6,0,low,0.09,4,0
233,support,1000280,0.81,1,4,0,low,0.82,4,1
268,support,1000281,0.98,1,6,0,low,0.1,4,0
301,support,1000282,0.56,1,3,0,low,0.27,3,0
267,support,1000283,0.92,1,5,0,low,0.83,6,0
289,support,1000284,0.93,1,6,0,low,0.1,4,1
144,support,1000285,0.47,1,2,0,low,0.38,3,0
148,support,1000286,0.56,1,2,0,low,0.4,3,0
306,support,1000287,0.83,1,6,0,low,0.11,4,0
292,technical,1000288,0.79,1,6,1,low,0.11,4,0
232,technical,1000289,0.91,1,5,0,low,0.82,5,0
137,technical,1000290,0.48,1,2,0,low,0.36,3,0
128,management,1000291,0.46,1,2,0,low,0.4,3,0
231,IT,1000292,0.84,1,5,0,low,0.87,5,0
146,IT,1000293,0.49,1,2,0,low,0.41,3,0
308,IT,1000294,0.91,1,6,0,low,0.11,4,1
253,IT,1000295,0.93,1,6,0,medium,0.1,4,0
146,IT,1000296,0.51,1,2,0,medium,0.38,3,0
156,product_mng,1000297,0.55,1,2,0,medium,0.39,3,0
147,product_mng,1000298,0.52,1,2,0,medium,0.4,3,0
136,product_mng,1000299,0.48,1,2,0,medium,0.45,3,0
249,product_mng,1000300,0.84,1,5,0,medium,0.74,5,0
151,IT,1000301,0.55,1,2,0,medium,0.45,3,0
278,RandD,1000302,1,1,3,0,medium,0.12,4,0
250,RandD,1000303,0.77,1,7,0,medium,0.1,5,0
127,RandD,1000304,0.55,1,2,0,medium,0.37,3,0
255,RandD,1000305,0.87,1,5,0,medium,0.89,5,0
135,RandD,1000306,0.47,1,2,0,medium,0.45,3,0
149,marketing,1000307,0.46,1,2,0,high,0.37,3,0
287,sales,1000308,0.81,1,5,0,low,0.11,4,0
145,accounting,1000309,0.48,1,2,0,medium,0.41,3,0
285,support,1000310,0.94,1,6,0,medium,0.1,4,0
305,technical,1000311,0.93,1,7,0,medium,0.1,4,0
300,management,1000312,0.95,1,7,0,medium,0.11,4,0
139,marketing,1000313,0.54,1,2,0,low,0.4,3,0
130,marketing,1000314,0.49,1,2,0,low,0.41,3,0
268,marketing,1000315,0.81,1,6,0,low,0.1,4,0
245,sales,1000316,0.86,1,4,0,low,0.73,6,0
135,sales,1000317,0.47,1,2,0,low,0.43,3,0
153,sales,1000318,0.46,1,2,0,low,0.37,3,0
276,sales,1000319,0.94,1,6,0,low,0.11,4,0
130,sales,1000320,0.46,1,2,0,low,0.4,3,0
153,sales,1000321,0.54,1,2,0,low,0.41,3,1
244,sales,1000322,0.84,1,5,0,low,0.82,5,0
253,sales,1000323,0.47,1,2,0,low,0.61,3,0
287,sales,1000324,0.91,1,7,0,low,0.11,4,0
131,sales,1000325,0.45,1,2,0,low,0.37,3,0
135,sales,1000326,0.52,1,2,0,low,0.41,3,0
157,sales,1000327,0.52,1,2,0,low,0.37,3,0
262,sales,1000328,0.99,1,5,0,low,0.88,6,0
266,sales,1000329,0.85,1,6,0,low,0.1,4,0
148,sales,1000330,0.48,1,2,0,low,0.44,3,0
140,sales,1000331,0.57,1,2,0,low,0.38,3,0
302,sales,1000332,0.85,1,7,0,low,0.11,4,0
271,sales,1000333,0.98,1,6,0,low,0.09,4,0
145,sales,1000334,0.52,1,2,0,medium,0.45,3,0
290,accounting,1000335,0.81,1,6,0,medium,0.1,4,0
151,accounting,1000336,0.47,1,2,0,medium,0.45,3,0
266,accounting,1000337,0.87,1,5,0,medium,0.77,5,0
140,hr,1000338,0.51,1,2,0,medium,0.44,3,0
142,hr,1000339,0.5,1,2,0,medium,0.39,3,0
246,hr,1000340,0.91,1,6,0,medium,0.1,4,0
308,hr,1000341,0.89,1,7,0,medium,0.09,5,0
141,technical,1000342,0.47,1,2,0,medium,0.37,3,0
232,technical,1000343,1,1,5,0,medium,0.9,5,0
143,technical,1000344,0.56,1,2,0,medium,0.41,3,0
155,technical,1000345,0.52,1,2,0,medium,0.37,3,0
278,technical,1000346,0.86,1,6,0,high,0.1,4,0
253,technical,1000347,1,1,4,0,low,0.81,5,0
282,technical,1000348,0.8,1,6,0,medium,0.11,4,0
264,technical,1000349,0.84,1,7,0,medium,0.11,4,0
149,technical,1000350,0.46,1,2,0,medium,0.4,3,0
304,technical,1000351,0.8,1,6,0,medium,0.09,5,0
219,technical,1000352,0.93,1,3,0,low,0.48,6,0
262,support,1000353,0.91,1,4,0,low,0.91,6,0
135,support,1000354,0.57,1,2,0,low,0.43,3,0
219,support,1000355,0.88,1,6,0,low,0.33,5,0
136,support,1000356,0.57,1,2,0,low,0.41,3,0
154,support,1000357,0.55,1,2,0,low,0.41,3,0
149,support,1000358,0.54,1,2,0,low,0.37,3,0
135,support,1000359,0.62,1,6,0,low,0.31,5,0
275,support,1000360,0.91,1,6,0,low,0.09,4,0
290,support,1000361,0.87,1,6,0,low,0.1,4,0
263,support,1000362,0.9,1,4,0,low,0.76,5,0
145,support,1000363,0.54,1,2,0,low,0.41,3,0
267,technical,1000364,0.96,1,5,0,low,0.72,5,0
141,technical,1000365,0.5,1,2,0,low,0.4,3,1
235,technical,1000366,0.87,1,4,0,low,0.91,5,0
258,management,1000367,0.83,1,6,0,low,0.1,4,0
131,IT,1000368,0.56,1,2,0,low,0.4,3,0
243,IT,1000369,0.86,1,5,0,low,0.82,5,0
266,IT,1000370,0.82,1,6,0,low,0.1,4,0
142,IT,1000371,0.45,1,2,0,low,0.37,3,0
135,IT,1000372,0.51,1,2,0,low,0.36,3,0
141,product_mng,1000373,0.48,1,2,0,medium,0.39,3,0
142,product_mng,1000374,0.57,1,2,0,medium,0.36,3,0
254,product_mng,1000375,0.84,1,5,0,medium,0.86,5,0
262,product_mng,1000376,0.99,1,5,0,medium,0.73,5,0
296,IT,1000377,0.71,1,4,0,medium,0.56,2,0
158,accounting,1000378,0.56,1,2,0,medium,0.44,3,0
238,accounting,1000379,0.56,1,4,0,medium,0.31,2,0
231,hr,1000380,0.93,1,4,0,medium,0.77,5,0
156,hr,1000381,0.45,1,2,0,medium,0.44,3,0
145,hr,1000382,0.46,1,2,0,medium,0.38,3,0
144,marketing,1000383,0.48,1,2,0,medium,0.45,3,0
159,sales,1000384,0.51,1,2,0,medium,0.38,3,0
156,accounting,1000385,0.48,1,2,0,high,0.36,3,0
256,support,1000386,0.9,1,5,0,low,0.75,5,0
298,technical,1000387,0.93,1,6,0,medium,0.1,4,0
247,management,1000388,0.97,1,6,0,medium,0.1,4,0
157,marketing,1000389,0.5,1,2,0,medium,0.45,3,0
154,marketing,1000390,0.57,1,2,0,medium,0.42,3,1
253,marketing,1000391,1,1,4,0,low,0.78,5,0
148,sales,1000392,0.55,1,2,0,low,0.45,3,0
261,sales,1000393,1,1,4,0,low,0.84,5,0
282,sales,1000394,0.93,1,6,0,low,0.11,4,0
133,sales,1000395,0.56,1,2,0,low,0.42,3,0
128,sales,1000396,0.46,1,2,0,low,0.45,3,0
139,sales,1000397,0.57,1,2,0,low,0.46,3,0
293,sales,1000398,0.79,1,6,0,low,0.09,5,0
265,sales,1000399,0.83,1,4,0,low,0.87,6,0
250,sales,1000400,0.87,1,6,0,low,0.1,4,0
251,sales,1000401,1,1,5,0,low,0.91,6,0
246,sales,1000402,0.92,1,4,0,low,0.76,5,0
275,sales,1000403,1,1,5,0,low,0.74,5,0
240,sales,1000404,0.93,1,5,0,low,0.92,5,0
245,sales,1000405,0.87,1,5,0,low,0.76,5,0
254,sales,1000406,0.5,1,4,0,low,0.47,4,0
241,sales,1000407,0.99,1,5,0,low,0.73,5,0
257,sales,1000408,0.94,1,6,0,low,0.09,4,0
246,sales,1000409,0.92,1,4,0,low,0.91,5,0
233,sales,1000410,0.98,1,4,0,low,0.82,5,0
218,accounting,1000411,0.45,1,6,0,low,0.28,4,0
262,accounting,1000412,0.99,1,4,0,medium,0.84,6,0
138,accounting,1000413,0.53,1,2,0,medium,0.45,3,0
142,hr,1000414,0.54,1,2,0,medium,0.45,3,0
233,hr,1000415,0.97,1,5,0,medium,0.91,5,0
155,hr,1000416,0.48,1,2,0,medium,0.42,3,0
229,hr,1000417,1,1,4,0,medium,0.82,6,0
264,technical,1000418,0.9,1,6,0,medium,0.11,4,0
199,technical,1000419,0.53,1,3,0,medium,0.42,4,0
223,technical,1000420,0.85,1,4,0,medium,0.82,5,0
268,technical,1000421,0.96,1,6,0,medium,0.09,4,0
287,technical,1000422,0.94,1,6,0,medium,0.1,4,0
257,technical,1000423,1,1,5,0,medium,0.86,5,0
143,technical,1000424,0.46,1,2,0,high,0.4,3,0
130,technical,1000425,0.46,1,2,0,low,0.45,3,0
136,technical,1000426,0.51,1,2,0,medium,0.42,3,0
261,technical,1000427,0.92,1,4,0,medium,0.74,5,0
180,technical,1000428,0.6,1,3,0,medium,0.55,4,0
126,support,1000429,0.45,1,2,0,medium,0.37,3,0
127,support,1000430,0.52,1,2,0,low,0.41,3,1
195,support,1000431,0.65,1,5,0,low,0.89,6,0
160,support,1000432,0.57,1,2,0,low,0.41,3,0
150,support,1000433,0.51,1,2,0,low,0.44,3,0
264,support,1000434,0.84,1,4,0,low,0.87,6,0
309,support,1000435,0.84,1,6,0,low,0.1,4,0
135,support,1000436,0.47,1,2,0,low,0.41,3,0
261,support,1000437,0.85,1,6,0,low,0.11,4,0
160,support,1000438,0.53,1,2,0,low,0.43,3,0
237,support,1000439,0.9,1,4,0,low,0.77,5,0
136,technical,1000440,0.52,1,2,0,low,0.41,3,0
139,technical,1000441,0.48,1,2,0,low,0.41,3,0
151,technical,1000442,0.78,1,2,0,low,0.36,4,0
229,management,1000443,1,1,5,0,low,0.77,5,0
245,IT,1000444,0.98,1,5,0,low,0.81,5,0
127,IT,1000445,0.54,1,2,0,low,0.39,3,0
283,IT,1000446,0.94,1,6,0,low,0.09,5,0
143,IT,1000447,0.46,1,2,0,low,0.44,3,0
298,IT,1000448,0.84,1,5,0,low,0.1,4,0
159,product_mng,1000449,0.48,1,2,0,low,0.36,3,0
239,product_mng,1000450,0.92,1,5,0,low,0.81,5,0
226,product_mng,1000451,0.9,1,4,0,medium,0.81,5,0
248,product_mng,1000452,0.98,1,5,0,medium,0.85,5,0
286,IT,1000453,0.87,1,6,0,medium,0.1,4,0
145,RandD,1000454,0.54,1,2,0,medium,0.37,3,0
254,RandD,1000455,0.97,1,7,0,medium,0.09,4,1
127,RandD,1000456,0.53,1,2,0,medium,0.44,3,0
223,RandD,1000457,0.93,1,5,0,medium,0.86,5,0
255,RandD,1000458,1,1,4,0,medium,0.77,5,0
136,marketing,1000459,0.48,1,2,0,medium,0.41,3,0
137,sales,1000460,0.48,1,2,0,medium,0.4,3,0
135,accounting,1000461,0.49,1,2,0,medium,0.43,3,0
137,support,1000462,0.5,1,2,0,medium,0.43,3,0
255,technical,1000463,0.53,1,3,0,high,0.8,5,0
273,management,1000464,0.85,1,4,0,low,0.8,5,0
234,marketing,1000465,0.98,1,5,0,medium,0.82,5,0
152,marketing,1000466,0.54,1,2,0,medium,0.37,3,0
134,marketing,1000467,0.48,1,2,0,medium,0.37,3,0
292,sales,1000468,0.95,1,6,0,medium,0.09,4,0
245,sales,1000469,0.92,1,5,0,low,0.9,5,0
159,sales,1000470,0.52,1,2,0,low,0.41,3,0
260,sales,1000471,0.85,1,6,0,low,0.1,4,0
149,sales,1000472,0.53,1,2,0,low,0.44,3,0
